state,county,total_percent_infected,percent_vaccinated,percent_republican,date_stay_at_home_effective,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
ALABAMA,CHOCTAW,0.0512352053379934,0.583,0.5630828304991772,0.1111111111111111,13287,14.5451563211506,0.413,0.36200000000000004,0.11342078708,0.78632478632,0.58008658009,0.136,39907.0,20773.0,84485.0,14417.0,0.21,0.207,0.20800000000000002
ALABAMA,CLARKE,0.1621369909406485,0.45,0.5479241807996317,0.1111111111111111,24847,20.0627490013432,0.341,0.34600000000000003,0.11926366291000001,0.90909090909,0.38229960102,0.171,40741.0,20543.0,85325.0,10075.0,0.24600000000000002,0.18100000000000002,0.226
ALABAMA,CLAY,0.1283717415942576,0.372,0.7918176328502415,0.1111111111111111,13483,22.3242891000964,0.406,0.326,0.13883338091,0.89808917197,0.35323033707999996,0.066,39201.0,21115.0,86322.0,16995.0,0.16699999999999998,0.19399999999999998,0.21600000000000003
ALABAMA,CLEBURNE,0.1097920858484238,0.268,0.8742605794023964,0.1111111111111111,14991,26.7646603791292,0.373,0.313,0.1334452371,0.9802955665,0.45014164306,0.07200000000000001,46495.0,19791.0,79176.0,16579.0,0.196,0.182,0.235
ALABAMA,COFFEE,0.1306598907187345,0.336,0.7644339577213849,0.1111111111111111,50991,75.0987887228696,0.342,0.308,0.11992366589999999,0.92517006803,0.63770962381,0.062,55122.0,25325.0,104459.0,22422.0,0.16399999999999998,0.158,0.23800000000000002
ALABAMA,COLBERT,0.1252330696403034,0.435,0.6721252257676099,0.1111111111111111,54377,91.7569957632382,0.306,0.366,0.09683862525,0.92136752137,0.5466543892,0.075,49055.0,23318.0,88336.0,18565.0,0.165,0.185,0.21600000000000003
ALABAMA,CONECUH,0.1053285820833678,0.402,0.5193621867881549,0.1111111111111111,12697,14.9348977763205,0.43,0.40700000000000003,0.12033455306,0.80373831776,0.36263736264,0.204,32613.0,16004.0,63947.0,14363.0,0.325,0.203,0.222
ALABAMA,COOSA,0.113945418737691,0.363,0.6437547600913938,0.1111111111111111,10864,16.690066897741,0.40299999999999997,0.353,0.13026201416,0.82716049383,0.42868954113,0.126,42423.0,18080.0,79721.0,17978.0,0.153,0.187,0.183
ALABAMA,COVINGTON,0.1356581824070825,0.335,0.8323086574654956,0.1111111111111111,37729,36.6138932625081,0.317,0.355,0.12103617686,0.94902912621,0.53610581506,0.107,40203.0,21738.0,84143.0,17115.0,0.19,0.20199999999999999,0.22
ALABAMA,CRENSHAW,0.1280859715364507,0.314,0.720121270145205,0.1111111111111111,13896,22.8237481117917,0.38,0.335,0.12267525036,0.8908045977000001,0.44907827138,0.07400000000000001,39057.0,20455.0,82870.0,15094.0,0.182,0.175,0.22899999999999998
